시군구,행정동,시설명,시설유형,시설종류,주소,x축,y축
세종시,한솔동,세종시 제1어린이집,아동,어린이집,세종시 한솔동 629,127.0015,36.6040
세종시,한솔동,한솔 해오름어린이집,아동,어린이집,세종시 한솔동 590,126.9990,36.6015
세종시,한솔동,한솔지역아동센터,아동,지역아동센터,세종시 한솔동 710,127.0050,36.6055
세종시,한솔동,세종시 다함께돌봄센터 1호,아동,다함께돌봄센터,세종시 한솔동 650,127.0035,36.6025
세종시,도담동,도담 푸른어린이집,아동,어린이집,세종시 도담동 456,127.0040,36.5920
세종시,도담동,도담지역아동센터,아동,지역아동센터,세종시 도담동 230,127.0010,36.5935
세종시,한솔동,한솔 주간보호센터,노인,주간보호센터,세종시 한솔동 780,127.0025,36.6070
세종시,도담동,도담 재가노인복지센터,노인,재가돌봄기관,세종시 도담동 500,127.0055,36.5910
세종시,보람동,세종시 노인복지관,노인,노인복지관,세종시 보람동 100,127.0100,36.5200
세종시,보람동,세종시 보건소,보건,보건소,세종시 보람동 200,127.0090,36.5150
세종시,조치원읍,조치원 보건지소,보건,보건지소,세종시 조치원읍 120,127.0290,36.6030
세종시,새롬동,세종시 장애인복지관,장애인,장애인복지관,세종시 새롬동 150,127.0060,36.5120
